HCPCS_Cd,RBCS_ID,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Assignment_Eff_Dt
0073A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,01/03/2022,12/31/9999,01/01/2017
0074A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,05/17/2022,12/31/9999,01/01/2017
0081A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,06/17/2022,12/31/9999,01/01/2017
0082A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,06/17/2022,12/31/9999,01/01/2017
0083A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,06/17/2022,12/31/9999,01/01/2017
0091A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,06/17/2022,12/31/9999,01/01/2017
0092A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,06/17/2022,12/31/9999,01/01/2017
0093A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,06/17/2022,12/31/9999,01/01/2017
0094A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,03/29/2022,12/31/9999,01/01/2017
0111A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,06/17/2022,12/31/9999,01/01/2017
0112A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,06/17/2022,12/31/9999,01/01/2017
0113A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,06/17/2022,12/31/9999,01/01/2017
0124A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,08/31/2022,12/31/9999,01/01/2017
0134A,RI035N,R,Treatment,RI,"Injections and Infusions (nononcologic)",035,"COVID-19 Vaccine Administration",N,08/31/2022,12/31/9999,01/01/2017
0229T,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2010,12/31/2020,01/01/2017
0232T,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2010,12/31/9999,01/01/2014
0438T,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/01/2016,12/31/2017,01/01/2014
0699T,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2022,12/31/9999,01/01/2017
38242,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2003,12/31/9999,01/01/2014
38243,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2013,12/31/9999,01/01/2014
90283,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/1999,12/31/9999,01/01/2014
90284,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/2008,12/31/9999,01/01/2015
90296,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2015
90371,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/1999,12/31/9999,01/01/2014
90375,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/1999,12/31/9999,01/01/2014
90376,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/1999,12/31/9999,01/01/2014
90377,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/2021,12/31/9999,01/01/2017
90378,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/2000,12/31/9999,01/01/2014
90384,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/1999,12/31/9999,01/01/2014
90385,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/1999,12/31/9999,01/01/2014
90393,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/1999,12/31/9999,01/01/2015
90396,RI008N,R,Treatment,RI,"Injections and Infusions (nononcologic)",008,"Injection - Immune Globulin",N,01/01/1999,12/31/9999,01/01/2014
90460,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2011,12/31/9999,01/01/2014
90461,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2011,12/31/9999,01/01/2014
90471,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90472,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90473,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2002,12/31/9999,01/01/2014
90474,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2002,12/31/9999,01/01/2014
90476,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90585,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90586,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90611,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/26/2022,12/31/9999,01/01/2017
90620,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,02/01/2015,12/31/9999,01/01/2014
90621,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2015,12/31/9999,01/01/2014
90622,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/26/2022,12/31/9999,01/01/2017
90625,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2016,12/31/9999,01/01/2015
90630,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2015,12/31/9999,01/01/2014
90632,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90633,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90634,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90636,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90644,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2010,12/31/9999,01/01/2014
90645,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1999,12/31/2015,01/01/2014
90646,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1999,12/31/2015,01/01/2014
90647,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90648,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90649,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2006,12/31/9999,01/01/2014
90650,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2009,12/31/9999,01/01/2015
90651,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2015,12/31/9999,01/01/2014
90653,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2013,12/31/9999,01/01/2014
90654,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2011,12/31/9999,01/01/2014
90655,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2004,12/31/9999,01/01/2014
90656,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2005,12/31/9999,01/01/2014
90657,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90658,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90658,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2017
90660,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90661,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2008,12/31/9999,01/01/2014
90662,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2008,12/31/9999,01/01/2014
90664,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,07/01/2010,12/31/9999,01/01/2015
90666,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,07/01/2010,12/31/9999,01/01/2014
90667,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,07/01/2010,12/31/9999,01/01/2015
90668,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,07/01/2010,12/31/9999,01/01/2014
90669,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1999,12/31/2015,01/01/2014
90670,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,07/01/2009,12/31/9999,01/01/2014
90671,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,07/01/2021,12/31/9999,01/01/2017
90672,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2013,12/31/9999,01/01/2014
90673,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2014,12/31/9999,01/01/2014
90674,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,08/01/2016,12/31/9999,01/01/2014
90675,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90676,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90677,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,07/01/2021,12/31/9999,01/01/2017
90680,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90681,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2009,12/31/9999,01/01/2014
90682,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2017,12/31/9999,01/01/2014
90685,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2013,12/31/9999,01/01/2014
90686,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2013,12/31/9999,01/01/2014
90687,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2013,12/31/9999,01/01/2014
90688,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2013,12/31/9999,01/01/2014
90689,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2019,12/31/9999,01/01/2015
90690,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90691,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/9999,01/01/2014
90692,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1999,12/31/2015,01/01/2015
90694,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2020,12/31/9999,01/01/2016
90696,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2009,12/31/9999,01/01/2014
90697,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2015,12/31/9999,01/01/2014
90698,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2004,12/31/9999,01/01/2014
90700,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1994,12/31/9999,01/01/2014
90702,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/9999,01/01/2014
90703,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/2015,01/01/2014
90704,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/2015,01/01/2015
90705,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/2015,01/01/2015
90706,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/2015,01/01/2015
90707,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/9999,01/01/2014
90708,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/2015,01/01/2015
90710,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1994,12/31/9999,01/01/2014
90712,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/2015,01/01/2014
90713,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/9999,01/01/2014
90714,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,07/01/2005,12/31/9999,01/01/2014
90715,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2004,12/31/9999,01/01/2014
90716,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1994,12/31/9999,01/01/2015
90717,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/9999,01/01/2014
90719,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/2015,01/01/2014
90720,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1994,12/31/2015,01/01/2014
90721,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1996,12/31/2015,01/01/2014
90725,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/2015,01/01/2015
90732,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/9999,01/01/2014
90733,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/9999,01/01/2014
90734,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2004,12/31/9999,01/01/2014
90735,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1994,12/31/2015,01/01/2014
90736,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2006,12/31/9999,01/01/2014
90739,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2013,12/31/9999,01/01/2014
90740,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2001,12/31/9999,01/01/2014
90743,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2001,12/31/9999,01/01/2014
90744,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1996,12/31/9999,01/01/2014
90746,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1996,12/31/9999,01/01/2014
90747,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1996,12/31/9999,01/01/2014
90748,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1998,12/31/9999,01/01/2014
90749,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/1984,12/31/9999,01/01/2014
90750,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2017,12/31/9999,01/01/2014
90756,RI011N,R,Treatment,RI,"Injections and Infusions (nononcologic)",011,"Vaccine - Toxoids",N,01/01/2018,12/31/9999,01/01/2014
90759,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2022,12/31/9999,01/01/2017
91300,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,12/11/2020,12/31/9999,01/01/2017
91301,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,12/18/2020,12/31/9999,01/01/2017
91302,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2021,01/01/2021,01/01/2017
91303,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,02/27/2021,12/31/9999,01/01/2017
91304,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,07/13/2022,12/31/9999,01/01/2017
91305,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/03/2022,12/31/9999,01/01/2017
91306,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/20/2021,12/31/9999,01/01/2017
91307,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,10/29/2021,12/31/9999,01/01/2017
91308,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,06/17/2022,12/31/9999,01/01/2017
91309,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,03/29/2022,12/31/9999,01/01/2017
91311,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,06/17/2022,12/31/9999,01/01/2017
91312,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,08/31/2022,12/31/9999,01/01/2017
91313,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,08/31/2022,12/31/9999,01/01/2017
95120,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/9999,01/01/2014
95125,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/9999,01/01/2014
95130,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/1984,12/31/9999,01/01/2017
96360,RI015N,R,Treatment,RI,"Injections and Infusions (nononcologic)",015,"Intravenous Infusion, Hydration",N,01/01/2009,12/31/9999,01/01/2014
96361,RI015N,R,Treatment,RI,"Injections and Infusions (nononcologic)",015,"Intravenous Infusion, Hydration",N,01/01/2009,12/31/9999,01/01/2014
96365,RI015N,R,Treatment,RI,"Injections and Infusions (nononcologic)",015,"Intravenous Infusion, Hydration",N,01/01/2009,12/31/9999,01/01/2014
96366,RI015N,R,Treatment,RI,"Injections and Infusions (nononcologic)",015,"Intravenous Infusion, Hydration",N,01/01/2009,12/31/9999,01/01/2014
96367,RI015N,R,Treatment,RI,"Injections and Infusions (nononcologic)",015,"Intravenous Infusion, Hydration",N,01/01/2009,12/31/9999,01/01/2014
96368,RI015N,R,Treatment,RI,"Injections and Infusions (nononcologic)",015,"Intravenous Infusion, Hydration",N,01/01/2009,12/31/9999,01/01/2014
96369,RI015N,R,Treatment,RI,"Injections and Infusions (nononcologic)",015,"Intravenous Infusion, Hydration",N,01/01/2009,12/31/9999,01/01/2014
96370,RI015N,R,Treatment,RI,"Injections and Infusions (nononcologic)",015,"Intravenous Infusion, Hydration",N,01/01/2009,12/31/9999,01/01/2014
96371,RI015N,R,Treatment,RI,"Injections and Infusions (nononcologic)",015,"Intravenous Infusion, Hydration",N,01/01/2009,12/31/9999,01/01/2014
96372,RI014N,R,Treatment,RI,"Injections and Infusions (nononcologic)",014,"Injection Administration",N,01/01/2009,12/31/9999,01/01/2014
96373,RI014N,R,Treatment,RI,"Injections and Infusions (nononcologic)",014,"Injection Administration",N,01/01/2009,12/31/9999,01/01/2014
96374,RI014N,R,Treatment,RI,"Injections and Infusions (nononcologic)",014,"Injection Administration",N,01/01/2009,12/31/9999,01/01/2014
96375,RI014N,R,Treatment,RI,"Injections and Infusions (nononcologic)",014,"Injection Administration",N,01/01/2009,12/31/9999,01/01/2014
96376,RI014N,R,Treatment,RI,"Injections and Infusions (nononcologic)",014,"Injection Administration",N,01/01/2009,12/31/9999,01/01/2014
96377,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2017,12/31/9999,01/01/2014
96379,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2009,12/31/9999,01/01/2014
B4187,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2020,12/31/9999,01/01/2016
C8957,RI000N,R,Treatment,RI,"Injections and Infusions (nononcologic)",000,"No RBCS Family",N,01/01/2006,12/31/9999,01/01/2014
C9014,RI031N,R,Treatment,RI,"Injections and Infusions (nononcologic)",031,"Injection - Enzymes",N,01/01/2018,12/31/2018,01/01/2017
